1987_1,1987_2
1,1
4,13
1,1
1,3
1,1
1,16
1,1
1,1
2,1
1,3
1,1
1,1
3,3
1,5
4,1
3,4
2,3
2,1
1,2
1,1
1,3
1,5
3,4
12,2
3,1
1,1
1,1
1,3
3,1
1,4
6,1
1,1
2,2
4,6
1,3
1,1
1,1
1,2
1,4
4,1
2,2
1,1
13,6
5,1
1,1
1,1
1,1
3,1
2,7
5,1
10,1
2,1
1,1
1,5
8,3
3,5
2,1
1,1
1,1
1,1
1,1
1,1
2,3
6,1
10,53
1,4
1,2
3,7
3,5
9,1
1,4
2,2
2,1
1,6
1,1
1,6
1,1
2,1
1,1
1,9
1,2
6,3
1,1
18,22
4,11
9,10
20,18
7,13
1,1
2,11
1,1
2,1
2,2
1,1
2,3
2,1
1,12
6,3
3,1
1,2
1,4
1,1
1,3
1,4
1,2
3,2
1,1
7,3
2,7
1,2
2,3
2,2
3,3
1,2
1,1
1,1
1,4
2,1
6,1
1,6
1,6
1,4
1,6
2,1
1,12
1,2
1,1
2,3
1,1
2,3
1,4
12,3
1,7
1,1
1,6
1,2
1,1
2,2
1,2
2,5
3,3
1,2
2,27
3,1
1,4
1,1
1,6
4,2
4,2
3,1
1,4
5,2
1,4
1,8
1,1
4,5
4,7
4,4
2,1
1,1
1,1
1,2
1,1
1,3
1,3
